"","x"
"1007",14
"1008",13
"1009",13
"1010",13
"1011",13
"1012",12
"1013",8
"1014",12
"1015",12
"1016",12
"1017",13
"1018",11
"1019",10
"1020",7
"1021",7
"1022",12
"1023",13
"1024",9
"1025",13
"1026",15
"1027",16
"1028",14
"1029",16
"1030",15
"1031",14
"1032",12
"1033",10
"1034",11
"1035",16
"1036",21
"1037",20
"1038",16
"1039",10
"1040",8
"1041",17
"1042",15
"1043",17
"1044",14
"1045",12
"1046",15
"1047",8
"1048",9
"1049",8
"1050",7
"1051",15
"1052",6
"1053",9
"1054",24
"1055",25
"1056",16
"1057",16
"1058",25
"1059",16
"1060",25
"1061",25
"1062",19
"1063",20
"1064",9
"1065",4
"1066",19
"1067",21
"1068",19
"1069",21
"1070",16
"1071",31
"1072",27
"1073",16
"1074",17
"1075",20
"1076",25
"1077",25
"1078",17
"1079",12
"1080",26
"1081",14
"1082",23
"1083",27
"1084",31
"1085",31
"1086",22
"1087",31
"1088",32
"1089",32
"1090",29
"1091",31
"1092",32
"1093",28
"1094",41
"1095",31
"1096",25
"1097",20
"1098",19
"1099",20
"1100",19
"1101",20
"1102",25
"1103",22
"1104",18
"1105",14
"1106",12
"1107",14
"1108",15
"1109",17
"1110",14
"1111",17
"1112",25
"1113",19
"1114",19
"1115",21
"1116",13
"1117",19
"1118",17
"1119",21
"1120",19
"1121",19
"1122",19
"1123",26
"1124",17
"1125",29
"1126",14
"1127",32
"1128",21
"1129",29
"1130",27
"1131",27
"1132",32
"1133",32
"1134",29
"1135",33
"1136",32
"1137",NA
"1138",33
"1139",30
"1140",33
"1141",33
"1142",31
"1143",32
"1144",33
"1145",32
"1146",35
"1147",32
"1148",NA
"1149",35
"1150",36
"1151",34
"1152",35
"1153",36
"1154",32
"1155",34
"1156",35
"1157",31
"1158",35
"1159",34
"1160",29
"1161",39
"1162",NA
"1163",38
"1164",41
"1165",39
"1166",39
"1167",32
"1168",41
"1169",NA
"1170",37
"1171",39
"1172",44
"1173",43
"1174",38
"1175",43
"1176",46
"1177",40
"1178",41
"1179",40
"1180",47
"1181",35
"1182",42
"1183",38
"1184",37
"1185",47
"1186",41
"1187",41
"1188",41
"1189",38
"1190",33
"1191",44
"1192",40
"1193",40
"1194",42
"1195",40
"1196",40
"1197",40
"1198",41
"1199",42
"1200",39
"1201",40
"1202",40
"1203",42
"1204",41
"1205",36
"1206",40
"1207",39
"1208",40
"1209",42
"1210",37
"1211",36
"1212",42
"1213",41
"1214",43
"1215",39
"1216",42
"1217",42
"1218",36
"1219",19
"1220",24
"1221",24
"1222",14
"1223",NA
"1224",38
"1225",38
"1226",38
"1227",40
"1228",38
"1229",39
"1230",41
"1231",39
"1232",40
"1233",32
"1234",30
"1235",33
"1236",31
"1237",29
"1238",29
"1239",40
"1240",30
"1241",30
"1242",29
"1243",33
"1244",44
"1245",35
"1246",36
"1247",43
"1248",42
"1249",47
"1250",45
"1251",39
"1252",NA
"1253",37
