"","V1","V2"
"554",29.32,45.44
"555",29,59
"556",33,64
"557",24,49
"558",50,55
"559",24,57
"560",23,55
"561",24,55
"562",23,57
"563",29,47
"564",53,57
"565",35,61
"566",29,59
"567",16,50
"568",46,43
"569",24,43
"570",28,55
"571",36,48
"572",20,47
"573",24,55
"574",46,46
"575",45,40
"576",44,32
"577",41,43
"578",45,43
"579",48,42
"580",42,44
"581",30,38
"582",44,43
"583",46,43
"584",45,42
"585",43,43
"586",36,36
"587",47,31
"588",37,33
"589",35,32
"590",45,32
"591",47,28
"592",36,32
"593",36,34
"594",35.03,32.77
"595",45,15
"596",68,25
"597",69,30
"598",68,33
"599",52,30
"600",73,32
"601",72,35
"602",66,35
"603",73,35
"604",71,36
"605",34,30
"606",63,34
"607",48,33
"608",52,36
"609",70,48
"610",100,39
"611",97,46
"612",125,49
"613",62,38
"614",107,52
"615",115,41
"616",60,43
"617",142,53
"618",74,62
"619",90,59
"620",90,72
"621",161.79,54.98
"622",173,64
"623",62,63
"624",112,55
"625",134,52
"626",136,50
"627",142.71,54.01
"628",125,65
"629",138,51
"630",136,47
"631",177,66
"632",75,68
"633",164.24,61.99
"634",145,70
"635",144,44
"636",90,62
"637",132,47
"638",102,35
"639",118,37
"640",124.14,24.46
"641",105,22
"642",125.32,24.79
"643",120,31
"644",113,23
"645",103,29
"646",126,45
"647",107,26
"648",136,35
"649",115,24
"650",127.8,26.16
"651",100,26
"652",109,19
"653",95,28
"654",75,37
"655",89,28
"656",91,30
"657",73,35
"658",87,28
"659",90,27
"660",84,28
"661",87,24
"662",86,25
"663",83,26
"664",88,23
"665",75,30
"666",85,22
"667",74,22
"668",85,23
"669",78,30
"670",75,34
"671",77,20
"672",79,16
"673",79,18
"674",78,19
"675",82,18
"676",81,20
"677",82,18
"678",79,11
"679",81,19
"680",77,12
"681",76,12
"682",76,11
"683",85,21
"684",85,22
"685",81,22
"686",93,12
"687",47,-22
"688",46,-19
"689",47,-22
"690",81,8
"691",80,7
"692",46,-25
"693",43.93,-21
"694",47.75,-22.9
"695",91,26
"696",92,23
"697",94,25
"698",94,25
"699",94,26
"700",94,27
"701",94,26
"702",95,26
"703",94,26
"704",97,23
"705",94,22
"706",94,27
"707",92,23
"708",95,20
"709",93,22
"710",97,26
"711",94,25
"712",97.19,17.12
"713",92,26
"714",92.64,20.49
"715",101,20
"716",108,13
"717",108,11
"718",98,18
"719",105,21
"720",102,4
"721",104,13
"722",102,21
"723",107,12
"724",101,5
"725",107,17
"726",105,12
"727",98.28,11.78
"728",100,21
"729",103,5
"730",100,15
"731",121,24
"732",121,24
"733",121,23
"734",123.65,10.2
"735",119.97,5.09
"736",121.55,22.05
"737",126,8
"738",121,18
"739",125,6
"740",123,10
"741",121,17
"742",121,17
"743",123,8
"744",121,13
"745",120.77,22.44
"746",119,10
"747",121,17
"748",121.05,22.7
"749",112,2
"750",110,-7
